Name,Age,CharacterName,MovieTitle
John Doe,30,Main Character,Saint-Hubert
Jane Smith,28,Supporting Character,Sparta
Robert Johnson,35,Villain,Dahuk
Emily Brown,26,Love Interest,Lymanske
Michael Davis,40,Hero,Gallatin
Sarah Wilson,29,Scientist,Nordhorn
Chris Martin,33,Pilot,Fiorano Modenese
Laura Jones,31,Detective,Punta Gorda
Tom White,38,Leader,Nazyvayevsk
Anna Taylor,27,Spy,Ayagawa
Johnny Depp,45,Supporting Actor,Saint-Hubert
Scarlett Johannson,36,Spy,Ayagawa
Jay Shetty,34,Mentor,Sparta
John Cena,31,Villian,Dahuk
